title,subtopic,relevant_content
Talk:Automotive industry,Borders in table,"The table with automobile groups and its brands in http://en.wikipedia.org/wiki/Automotive_industry#Top_vehicle_manufacturing_groups_by_volume is terrible without the borders (they are not seen at least in firefox). Could someone add the borders?  Also the table is too narrow and too high.
"
Talk:Automotive industry,A Commons file used on this page or its Wikidata item has been nominated for deletion,"The following Wikimedia Commons file used on this page or its Wikidata item has been nominated for deletion:
* [[commons:File:Vintage Pontiac Promotion.svg|Vintage Pontiac Promotion.svg]]<!-- COMMONSBOT: discussion | 2023-03-15T22:25:04.127807 | Vintage Pontiac Promotion.svg -->
Participate in the deletion discussion at the [[commons:Commons:Deletion requests/Files uploaded by Iamthevilla|nomination page]]. —[[User:Community Tech bot|Community Tech bot]] ([[User talk:Community Tech bot|talk]]) 22:25, 15 March 2023 (UTC)
"
Talk:Automotive industry,2017 data,"
212.100.101.104 and I have a disagreement about how OICA groups companies. Since this disagreement is essentially the same one that we have at [[Talk:List_of_manufacturers_by_motor_vehicle_production#2006_data_(again)]], I suggest that we discuss the 2006 data there first instead of duplicating our efforts. <span style=""border:1px solid blue;border-radius:4px;color:blue;box-shadow: 3px 3px 4px grey;"">[[User:Stepho-wrs|'''&nbsp;Stepho&nbsp;''']]&nbsp;<span style=""font-size:xx-small; vertical-align:top"">[[User Talk:Stepho-wrs|talk]]&nbsp;</span></span> 04:50, 4 November 2023 (UTC)"
Talk:Automotive industry,"""[[:World's largest automakers]]"" listed at [[Wikipedia:Redirects for discussion|Redirects for discussion]]","[[File:Information.svg|30px]]
The redirect <span class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=World%27s_largest_automakers&redirect=no World's largest automakers]</span> has been listed at [[Wikipedia:Redirects for discussion|redirects for discussion]] to determine whether its use and function meets the [[Wikipedia:Redirect|redirect guidelines]]. Readers of this page are welcome to comment on this redirect at '''{{slink|Wikipedia:Redirects for discussion/Log/2023 November 29#World's largest automakers}}''' until a consensus is reached. <!-- Template:RFDNote --> [[User:Steel1943|<span style=""color: #3F00FF;"">'''''Steel1943'''''</span>]] ([[User talk:Steel1943|talk]]) 20:44, 29 November 2023 (UTC)"
Talk:Automotive industry,"""[[:List of assets owned by major automobile corporations]]"" listed at [[Wikipedia:Redirects for discussion|Redirects for discussion]]","[[File:Information.svg|30px]]
The redirect <span class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=List_of_assets_owned_by_major_automobile_corporations&redirect=no List of assets owned by major automobile corporations]</span> has been listed at [[Wikipedia:Redirects for discussion|redirects for discussion]] to determine whether its use and function meets the [[Wikipedia:Redirect|redirect guidelines]]. Readers of this page are welcome to comment on this redirect at '''{{slink|Wikipedia:Redirects for discussion/Log/2023 November 30#List of assets owned by major automobile corporations}}''' until a consensus is reached. <!-- Template:RFDNote --> [[User:Steel1943|<span style=""color: #3F00FF;"">'''''Steel1943'''''</span>]] ([[User talk:Steel1943|talk]]) 20:45, 30 November 2023 (UTC)"
Talk:Automotive industry,"""[[:Top 20 motor vehicle producing companies in 2007]]"" listed at [[Wikipedia:Redirects for discussion|Redirects for discussion]]","[[File:Information.svg|30px]]
The redirect <span class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Top_20_motor_vehicle_producing_companies_in_2007&redirect=no Top 20 motor vehicle producing companies in 2007]</span> has been listed at [[Wikipedia:Redirects for discussion|redirects for discussion]] to determine whether its use and function meets the [[Wikipedia:Redirect|redirect guidelines]]. Readers of this page are welcome to comment on this redirect at '''{{slink|Wikipedia:Redirects for discussion/Log/2023 November 30#Top 20 motor vehicle producing companies in 2007}}''' until a consensus is reached. <!-- Template:RFDNote --> [[User:Steel1943|<span style=""color: #3F00FF;"">'''''Steel1943'''''</span>]] ([[User talk:Steel1943|talk]]) 20:49, 30 November 2023 (UTC)"
Talk:Automotive industry,"""[[:Automotive strategy consultant]]"" listed at [[Wikipedia:Redirects for discussion|Redirects for discussion]]","[[File:Information.svg|30px]]
The redirect <span class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Automotive_strategy_consultant&redirect=no Automotive strategy consultant]</span> has been listed at [[Wikipedia:Redirects for discussion|redirects for discussion]] to determine whether its use and function meets the [[Wikipedia:Redirect|redirect guidelines]]. Readers of this page are welcome to comment on this redirect at '''{{slink|Wikipedia:Redirects for discussion/Log/2023 December 3#Automotive strategy consultant}}''' until a consensus is reached. <!-- Template:RFDNote --> [[User:Steel1943|<span style=""color: #3F00FF;"">'''''Steel1943'''''</span>]] ([[User talk:Steel1943|talk]]) 21:57, 3 December 2023 (UTC)"
Talk:Automotive industry,"""[[:Forschungsgemeinschaft Automobil-Technik]]"" listed at [[Wikipedia:Redirects for discussion|Redirects for discussion]]","[[File:Information.svg|30px]]
The redirect <span class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Forschungsgemeinschaft_Automobil-Technik&redirect=no Forschungsgemeinschaft Automobil-Technik]</span> has been listed at [[Wikipedia:Redirects for discussion|redirects for discussion]] to determine whether its use and function meets the [[Wikipedia:Redirect|redirect guidelines]]. Readers of this page are welcome to comment on this redirect at '''{{slink|Wikipedia:Redirects for discussion/Log/2023 December 3#Forschungsgemeinschaft Automobil-Technik}}''' until a consensus is reached. <!-- Template:RFDNote --> [[User:Steel1943|<span style=""color: #3F00FF;"">'''''Steel1943'''''</span>]] ([[User talk:Steel1943|talk]]) 22:01, 3 December 2023 (UTC)"
Talk:Chemical industry,Adding industrial overview,"I have taken a business history approach and added an introduction about the current state of the industry, some history from Chandler, and a short bibliography. [[User:Rjensen|Rjensen]] 20:46, 22 January 2007 (UTC)

Very good introduction. I note that US chemical trade balance is negative from 2002 -2005 according to the C&EN article (7-10-06)(also www.cen-online.org).  Many of the produts have positive balances with most of the deficits being in ""medicinals & pharmaceuticals"". [[User:Oldsci|Oldsci]] 04:56, 23 January 2007 (UTC)

This entire page seems to be missing citations [[User:RichardFry|RichardFry]] ([[User talk:RichardFry|talk]]) 17:20, 24 May 2010 (UTC)

I have added a table to this page (Global Chemical Shipments by Country/Region in billions of dollars) as well as some other media and a 'See Also' section.  I hope this opens up more discussion as well as added contributions to increase its rating among the WikiProject Chemistry group. [[User:JBarrows-NJITWILL|JBarrows-NJITWILL]] ([[User talk:JBarrows-NJITWILL|talk]]) 04:32, 29 June 2010 (UTC)
"
Talk:Chemical industry,history,"This section is woefully inadequate.  It ought to go into the industrial revolution that started with Priestley and went through the Victorian period.
[[Special:Contributions/108.45.122.74|108.45.122.74]] ([[User talk:108.45.122.74|talk]]) 13:27, 18 October 2012 (UTC)
"
Talk:Chemical industry,Chemical industry,"
It's [[Special:Contributions/151.236.189.210|151.236.189.210]] ([[User talk:151.236.189.210|talk]]) 14:40, 18 November 2021 (UTC)"
Talk:Construction,Addition of builder,"
The addition of builder would be worth a thought under higher education. As in some countries  Builder is no longer considered a tried. In Australia a builder now has two more years experience than a tradesperson and normally a certificate four or diploma in construction. Looks forward to your reply [[User:Sntmichael|Sntmichael]] ([[User talk:Sntmichael|talk]]) 10:16, 28 September 2020 (UTC)

:Such an addition will need to explain the locations/countries where this qualification/experience is required. In some (most?) economies, there are no barriers to anyone setting up as a ""builder"" (it is not a protected term like ""architect""). [[User:Paul W|Paul W]] ([[User talk:Paul W|talk]]) 12:54, 28 September 2020 (UTC)"
Talk:Construction,"""Bridgit (software)"" listed at [[Wikipedia:Redirects for discussion|Redirects for discussion]]","[[File:Information.svg|30px]]
An editor has identified a potential problem with the redirect [[:Bridgit (software)]] and has thus listed it [[Wikipedia:Redirects for discussion|for discussion]]. This discussion will occur at [[Wikipedia:Redirects for discussion/Log/2022 September 28#Bridgit (software)]] until a consensus is reached, and readers of this page are welcome to contribute to the discussion. <!-- from Template:RFDNote --> <sub>signed, </sub>[[User:Rosguill|'''''Rosguill''''']] <sup>[[User talk:Rosguill|''talk'']]</sup> 17:15, 28 September 2022 (UTC)
"
Talk:Construction,A Commons file used on this page or its Wikidata item has been nominated for deletion,"The following Wikimedia Commons file used on this page or its Wikidata item has been nominated for deletion:
* [[commons:File:Roofing-2.jpg|Roofing-2.jpg]]<!-- COMMONSBOT: discussion | 2022-10-20T14:36:58.631031 | Roofing-2.jpg -->
Participate in the deletion discussion at the [[commons:Commons:Deletion requests/Files uploaded by Corkman1345|nomination page]]. —[[User:Community Tech bot|Community Tech bot]] ([[User talk:Community Tech bot|talk]]) 14:37, 20 October 2022 (UTC)
"
Talk:Construction,Undue prominence on safety,"
Hi [[User:Dustfreeworld]]. You recently reverted a change I made to keep safety within a section about characteristics of of the construction industry. You assert ""Safety is not a “characteristic” of the industry. It’s a big problem caused by and also affecting the construction industry."" 

Previous edits of the construction article have created a logical hierarchy of four main headings: History, Sectors, Processes, Scale and characteristics. The latter's subsections included Economic activity, Employment, Sustainability, and (until you removed it) Safety. I do not share your view that this should be added to a main section of its own. Indeed, arguably, (a lack of) sustainability is an even greater problem with causes by and impacts upon the construction sector. I think the change you made warrants further discussion here with other editors to establish a consensus for your move. You clearly have a strong interest in air and dust pollution-related matters, but, in my view, your focus on these areas is potentially skewing the construction article by making safety more prominent than other issues ([[WP:Undue]]).

I propose to revert the change and invite you to discuss it here on the article Talk page. If there is a consensus for a separate section, all well and good, but if not, safety should remain within the Scale and characteristics section. Thank you for reading (I have also left a similar note on your User Talk page). [[User:Paul W|Paul W]] ([[User talk:Paul W|talk]]) 18:00, 15 September 2023 (UTC)

:Hi [[User:Paul W]]. May we know more about this 2020 edit of yours, which has no discussion or consensus or edit summary, please?
:* https://en.wikipedia.org/w/index.php?title=Construction&diff=prev&oldid=953885006
:Thanks. --[[User:Dustfreeworld|<span style=""color: navy"">'''Dustfreeworld'''</span>]] ([[User talk:Dustfreeworld|talk]]) 07:35, 16 September 2023 (UTC)
::It was part of a long series of dozens of edits in a major rewrite/reorganisation of the article (aiming to produce a level-3 vital article - see [[WP:Vital articles]] - that was consistent in its headings with other high level vital economy articles such as [[agriculture]] and [[manufacturing]]). The editing process was consciously conducted over multiple days over several weeks to allow other editors to contribute or raise matters via the Talk page (though none did) - so achieving consensus (per [[WP:CONACHIEVE]]) through editing.
::Please note I also tried to draw attention to the improvement process by adding a section - see ""Article improvement"" above - on this Talk page (started 5 May 2020, updated 26 June 2020) . The process developed an article that has been largely stable for over three years. (And like practically all of my edits, it <u>did</u> have an an edit summary - the words 'health and safety' - indicating the section then being edited). Thanks. [[User:Paul W|Paul W]] ([[User talk:Paul W|talk]]) 21:35, 16 September 2023 (UTC)
"
Talk:Construction,Inclusion of Recent Developments,"
Adding information about recent trends, technological innovations, or significant events in the [https://tgcbuilds.com/ construction companies] and industry that might be missing from the article.
like https://www.intellectsoft.net/blog/8-emerging-construction-technology-trends/ [[User:Jhoncarll|Jhoncarll]] ([[User talk:Jhoncarll|talk]]) 19:48, 16 November 2023 (UTC)

:Not sure what you want to add or improve in the construction article. If it's just about adding spammy external links to websites (like this Talk page addition), please refrain. Best wishes. [[User:Paul W|Paul W]] ([[User talk:Paul W|talk]]) 21:28, 16 November 2023 (UTC)"
Talk:Consumer electronics,ever falling prices?,"{{closed|text=
i don't think, that the prices are ""ever falling"" there are many CE sectors, where the pricing is quite constant since many years. The number of transistors is you can get for a given price is rising and you get more perforamnce and features for the same price. --[[User:MrBurns|MrBurns]] ([[User talk:MrBurns|talk]]) 22:59, 10 October 2009 (UTC)

:Phrase no longer present in article. ~[[user talk:Kvng|KvnG]] 15:06, 23 September 2014 (UTC)
}}
"
Talk:Consumer electronics,Brown goods,"{{closed|text=
[[Brown goods]] redirects here, but what does the phrase mean? thanks [[Special:Contributions/80.179.220.87|80.179.220.87]] ([[User talk:80.179.220.87|talk]]) 10:19, 12 November 2009 (UTC)

I was thinking that myself! I searched for 'brown goods' and like you got redirected with no explanation! I've since corrected the redirect to the correct explanation and expanded the term for our UK visitors. See [[Brown goods]]. --[[User:Quatermass|Quatermass]] ([[User talk:Quatermass|talk]]) 09:51, 13 October 2010 (UTC)

:As of September 2014 it now redirects to [[Small appliance]]. [[User:Finnusertop|Finnusertop]] ([[User_talk:Finnusertop|talk]] &#124; [[User:Finnusertop/guestbook|guestbook]] &#124; [[User:Finnusertop/contributions|contribs]]) 12:24, 8 September 2014 (UTC)
}}
"
Talk:Consumer electronics,Less individual products?,"
Should it be mentioned that nowadays some products (such as cameras, microphones and GPS) have become less common because they are integrated in smartphones?
[[User:PWNGWN|PWNGWN]] ([[User talk:PWNGWN|talk]]) 22:50, 11 May 2013 (UTC)
"
Talk:Consumer electronics,Merge with  Electronics industry,"{{closed|text=
I think this a article should be merged with [[Electronics industry]], but I am unsure which direction the merge should go. --[[User:NickPenguin|<span style=""color:darkgreen;"">Nick</span>]][[User talk:NickPenguin|<span style=""color:darkblue;"">Penguin</span>]]<sub>([[Special:Contributions/NickPenguin|<span style=""color:blue;"">'''contribs'''</span>]])</sub> 15:02, 8 September 2014 (UTC)
:'''Comment:''' Looking purely at the semantics and [[Wikipedia:Scope|scope]] of it, they are different things; electronic industry manufactures electronics that are meant for others than consumers, too. I think the [[Electronics industry]] article is just currently out of scope and tries to back this up with the unsupported claim ""electronics industry, especially meaning consumer electronics"". That two stubb/start class articles on related topics happen to have almost identical contents reflects the poor initial quality of these articles, not the ultimate scope corresponding to title that we should be aiming at. [[User:Finnusertop|Finnusertop]] ([[User_talk:Finnusertop|talk]] &#124; [[User:Finnusertop/guestbook|guestbook]] &#124; [[User:Finnusertop/contributions|contribs]]) 16:03, 8 September 2014 (UTC)

*Removing this merge proposal. --[[User:NickPenguin|<span style=""color:darkgreen;"">Nick</span>]][[User talk:NickPenguin|<span style=""color:darkblue;"">Penguin</span>]]<sub>([[Special:Contributions/NickPenguin|<span style=""color:blue;"">'''contribs'''</span>]])</sub> 03:45, 11 September 2014 (UTC)
}}
"
Talk:Consumer electronics,Lists of consumer electronics?,"
How should we represent individual products or classes of products in this article? FOr examples, we could talk egenrally about personal audio devices, but the importance of the [[Walkman]] and [[iPod]] probably also warrant a mention. It would be easy to include a list of notable consumer electronics, but it might be easier to include a generic writeup and forward people to the relevant category, or a preexisting list article. --[[User:NickPenguin|<span style=""color:darkgreen;"">Nick</span>]][[User talk:NickPenguin|<span style=""color:darkblue;"">Penguin</span>]]<sub>([[Special:Contributions/NickPenguin|<span style=""color:blue;"">'''contribs'''</span>]])</sub> 15:15, 8 September 2014 (UTC)
:Individual products can be used as examples to illustrate [[WP:PROSE|prose]]. Any lists would be either severely incomplete or overly exhaustive. I can't see a list of 'notable' consumer electronics being anything but irrelevant; if some item is important then it should be included in prose and with context. Eg. {{quote|""Walkman popularized the idea of a portable audio player, while the iPod connected online music retail with portable devices""}} 
:Instead of {{quote|""Important devices for some reson:}} 
:* Walkman 
:* iPod  ""
:As for linking to lists, a simple link to [[:Category:Consumer electronics]] will do. [[User:Finnusertop|Finnusertop]] ([[User_talk:Finnusertop|talk]] &#124; [[User:Finnusertop/guestbook|guestbook]] &#124; [[User:Finnusertop/contributions|contribs]]) 15:39, 8 September 2014 (UTC)
"
Talk:Consumer electronics,Translation efforts,"
Melody Lavender has started translating from [https://de.wikipedia.org/wiki/Unterhaltungselektronik the German page] on consumer electronics, but there is also good content that can be grabbed from [https://cs.wikipedia.org/wiki/Spot%C5%99ebn%C3%AD_elektronika Czech wiki], [https://es.wikipedia.org/wiki/Electr%C3%B3nica_de_consumo Spanish wiki] and [https://fi.wikipedia.org/wiki/Viihde-elektroniikka Finnish wiki]. Remember that per [[Wikipedia:Translation]] we have to tag the talk page with {{tl|Translated page}} so as to preserve copyright. --[[User:NickPenguin|<span style=""color:darkgreen;"">Nick</span>]][[User talk:NickPenguin|<span style=""color:darkblue;"">Penguin</span>]]<sub>([[Special:Contributions/NickPenguin|<span style=""color:blue;"">'''contribs'''</span>]])</sub> 15:44, 9 September 2014 (UTC)
:I'm a Finnish translator but I don't find the Finnish page particularly good. I might check it for things we may have overlooked, but in that case I'd rather dig out a proper source than go through the process of translating unsourced material. [[User:Finnusertop|Finnusertop]] ([[User_talk:Finnusertop|talk]] &#124; [[User:Finnusertop/guestbook|guestbook]] &#124; [[User:Finnusertop/contributions|contribs]]) 13:24, 10 September 2014 (UTC)
"
Talk:Consumer electronics,Internal links,"{{closed|text=
After going through the links in this article looking for the disambiguation pages mentioned in the tag at the top, the only ones I found are:
*<s>[[High vacuum]]</s>
*<s>[[Electron tube]]</s>
*<s>[[KDKA]]</s>
*<s>[[Arthur Berry]]</s>
Don't have time to look at them at the moment so will leave them here and will hopefully get back to them.

I also noticed several pages linked to multiple times, most often from within the history section, as far as I am aware this is incorrect and only the first instance should be tagged. Also, there appears to be a higher than normal number of redirect pages linked. [[User:CSJJ104|CSJJ104]] ([[User talk:CSJJ104|talk]]) 09:38, 10 September 2014 (UTC)
:Have now removed tag template as does not seem appropriate to me. [[User:CSJJ104|CSJJ104]] ([[User talk:CSJJ104|talk]]) 12:44, 10 September 2014 (UTC)
::There were some left (identified with [[User:Anomie/linkclassifier|linkclassifier]]) and I have fixed them. Most of them would have resulted in further duplicate links within the section. I fixed quite a bit of duplicates, too. CSJJ104 is right about fixing those ([[WP:REPEATLINK]]). Redirects, however, are just fine ([[WP:NOTBROKEN]]). [[User:Finnusertop|Finnusertop]] ([[User_talk:Finnusertop|talk]] &#124; [[User:Finnusertop/guestbook|guestbook]] &#124; [[User:Finnusertop/contributions|contribs]]) 13:15, 10 September 2014 (UTC)
:::I copied the content from about 1888 on from the German wiki, and I just linked whatever words were linked in that article, without checking where they went. --[[User:NickPenguin|<span style=""color:darkgreen;"">Nick</span>]][[User talk:NickPenguin|<span style=""color:darkblue;"">Penguin</span>]]<sub>([[Special:Contributions/NickPenguin|<span style=""color:blue;"">'''contribs'''</span>]])</sub> 13:27, 10 September 2014 (UTC)
::::[[User:Anomie/linkclassifier|linkclassifier]] looks like a useful tool, thanks for mentioning it Finnusertop :) [[User:CSJJ104|CSJJ104]] ([[User talk:CSJJ104|talk]]) 15:37, 10 September 2014 (UTC)
}}
"
Talk:Consumer electronics,Source dump,"Do with this what you will. Just did a quick search of Google news, books, scholar etc, and posted a lot of promising links to save you guys the trouble. :)--[[User:Coin945|Coin945]] ([[User talk:Coin945|talk]]) 15:41, 10 September 2014 (UTC)

* http://news.google.com/newspapers?nid=2199&dat=19881023&id=XIsyAAAAIBAJ&sjid=0OYFAAAAIBAJ&pg=6915,6016251 [http://news.google.com/newspapers?nid=1290&dat=19900802&id=_ttOAAAAIBAJ&sjid=vowDAAAAIBAJ&pg=5340,610076 or this]
* http://news.google.com/newspapers?nid=1734&dat=20040110&id=3TweAAAAIBAJ&sjid=Yb8EAAAAIBAJ&pg=6350,781144 
*http://news.google.com/newspapers?nid=1696&dat=20040118&id=Xf4aAAAAIBAJ&sjid=N0gEAAAAIBAJ&pg=2152,2032955
*http://news.google.com/newspapers?nid=1309&dat=20010106&id=qiwhAAAAIBAJ&sjid=q3gFAAAAIBAJ&pg=2254,4311987
*http://news.google.com/newspapers?nid=1933&dat=19951121&id=y9cgAAAAIBAJ&sjid=EGsFAAAAIBAJ&pg=1298,2197893
*http://news.google.com/newspapers?nid=1901&dat=19900107&id=WwkqAAAAIBAJ&sjid=iNIEAAAAIBAJ&pg=5193,2415373
* http://news.google.com/newspapers?nid=1298&dat=19920528&id=HOJLAAAAIBAJ&sjid=1YsDAAAAIBAJ&pg=3908,726654
* http://news.google.com/newspapers?nid=1309&dat=19920113&id=CxFZAAAAIBAJ&sjid=QpADAAAAIBAJ&pg=5838,1168437
* http://news.google.com/newspapers?nid=1917&dat=19870723&id=2w8hAAAAIBAJ&sjid=inIFAAAAIBAJ&pg=781,5482830
* http://news.google.com/newspapers?nid=1290&dat=19900802&id=_ttOAAAAIBAJ&sjid=vowDAAAAIBAJ&pg=5395,583993
* http://news.google.com/newspapers?nid=336&dat=19881113&id=BjcpAAAAIBAJ&sjid=I4QDAAAAIBAJ&pg=4848,5605944
* http://news.google.com/newspapers?nid=336&dat=19830302&id=GRtTAAAAIBAJ&sjid=E4MDAAAAIBAJ&pg=3898,741678
* http://news.google.com/newspapers?nid=1755&dat=19901023&id=qKYcAAAAIBAJ&sjid=v3oEAAAAIBAJ&pg=2009,4662517
* http://ieeexplore.ieee.org/xpl/login.jsp?tp=&arnumber=825699&url=http%3A%2F%2Fieeexplore.ieee.org%2Fxpls%2Fabs_all.jsp%3Farnumber%3D825699
* http://www.sciencedirect.com/science/article/pii/S0048733305001472
* http://books.google.com.au/books?hl=en&lr=&id=wZ5s5vfAas4C&oi=fnd&pg=PR9&dq=Consumer+electronics&ots=ZydM0Gi6L1&sig=aLmtObp6Vlwg1JipYkLRq_votGA#v=onepage&q=Consumer%20electronics&f=false
* http://www.sciencedirect.com/science/article/pii/S0923596500000503
* http://books.google.com.au/books?id=_spKr2qoRKwC&printsec=frontcover&dq=Consumer+electronics&hl=en&sa=X&ei=uFMQVJO9MMrr8AW_yILIBg&ved=0CB4Q6AEwAA#v=onepage&q=Consumer%20electronics&f=false
* http://books.google.com.au/books?id=VcqpCrHjAtMC&printsec=frontcover&dq=Consumer+electronics&hl=en&sa=X&ei=uFMQVJO9MMrr8AW_yILIBg&ved=0CCUQ6AEwAQ#v=onepage&q=Consumer%20electronics&f=false
* http://books.google.com.au/books?id=OkvpbmzaPkUC&printsec=frontcover&dq=Consumer+electronics&hl=en&sa=X&ei=uFMQVJO9MMrr8AW_yILIBg&ved=0CCsQ6AEwAg#v=onepage&q=Consumer%20electronics&f=false
* http://books.google.com.au/books?id=SnwkaXXfRD8C&pg=PA9&dq=Consumer+electronics&hl=en&sa=X&ei=uFMQVJO9MMrr8AW_yILIBg&ved=0CDkQ6AEwBA#v=onepage&q=Consumer%20electronics&f=false
* http://books.google.com.au/books?id=tE1ge2TC36MC&pg=PT15&dq=Consumer+electronics&hl=en&sa=X&ei=uFMQVJO9MMrr8AW_yILIBg&ved=0CFMQ6AEwCQ#v=onepage&q=Consumer%20electronics&f=false
* http://books.google.com.au/books?id=C2YIa-gyYaEC&pg=PA2&dq=Consumer+electronics&hl=en&sa=X&ei=uFMQVJO9MMrr8AW_yILIBg&ved=0CE8Q6AEwCA#v=onepage&q=Consumer%20electronics&f=false
* http://www.fool.com/investing/general/2014/09/07/the-rise-and-fall-of-consumer-electronics.aspx
* http://encyclopedia.jrank.org/articles/pages/6483/Consumer-Electronics.html
* http://scholarlycommons.law.northwestern.edu/cgi/viewcontent.cgi?article=1408&context=njilb
"
